图片链接,书籍链接,书名,书籍信息,star,评分,评价人数
https://img1.doubanio.com/view/subject/s/public/s33631858.jpg,https://book.douban.com/subject/35044046/,神经网络与深度学习,邱锡鹏 / 机械工业出版社 / 2020-4-10 / 149.00元,45,9.4,314
https://img9.doubanio.com/view/subject/s/public/s33732686.jpg,https://book.douban.com/subject/35218199/,机器学习实战（原书第2版）,[法] Aurélien Géron / 宋能辉、李娴 / 机械工业出版社 / 2020-10-1 / 149.00元,50,10.0,99
https://img1.doubanio.com/view/subject/s/public/s29839337.jpg,https://book.douban.com/subject/30293801/,Python深度学习,[美] 弗朗索瓦•肖莱 / 张亮 / 人民邮电出版社 / 2018-8 / 119.00元,50,9.5,805
https://img9.doubanio.com/view/subject/s/public/s29738046.jpg,https://book.douban.com/subject/30192800/,Python神经网络编程,[英]塔里克·拉希德（Tariq Rashid） / 林赐 / 人民邮电出版社 / 2018-4 / 69.00元,45,9.1,556
https://img9.doubanio.com/view/subject/s/public/s29815955.jpg,https://book.douban.com/subject/30270959/,深度学习入门,[ 日］  斋藤康毅 / 陆宇杰 / 人民邮电出版社 / 2018-7 / 59.00元,45,9.4,736
https://img1.doubanio.com/view/subject/s/public/s29923729.jpg,https://book.douban.com/subject/30379536/,智慧的疆界,周志明 / 机械工业出版社 / 2018-1-1 / 56.9,45,9.1,72
https://img1.doubanio.com/view/subject/s/public/s32295077.jpg,https://book.douban.com/subject/33414479/,深度学习的数学,[日]涌井良幸、[日]涌井贞美 / 杨瑞龙 / 人民邮电出版社 / 2019-4 / 69.00元,40,8.4,249
https://img9.doubanio.com/view/subject/s/public/s28342396.jpg,https://book.douban.com/subject/26666358/,连接组,[美] 承现峻 / 孙天齐 / 清华大学出版社 / 2016-1 / 45.00元,45,8.6,333
https://img2.doubanio.com/view/subject/s/public/s33883311.jpg,https://book.douban.com/subject/35445946/,图神经网络导论,刘知远、周界 / 李泺秋 / 人民邮电出版社 | 图灵 / 2021-4-19 / 69.80元,00,,10
https://img2.doubanio.com/view/subject/s/public/s28910563.jpg,https://book.douban.com/subject/26840215/,Hands-On Machine Learning with Scikit-Learn and TensorFlow,Aurélien Géron / O&#39;Reilly Media / 2017-1-25 / USD 49.99,45,9.2,429
https://img9.doubanio.com/view/subject/s/public/s28855545.jpg,https://book.douban.com/subject/26727997/,Neural Networks and Deep Learning,Michael Nielsen / 2016-1,50,9.5,220
https://img1.doubanio.com/view/subject/s/public/s29936638.jpg,https://book.douban.com/subject/30236893/,神经网络设计（原书第2版）,Martin T. Hagan、Howard B. Demuth、Mark H. Beale / 章毅 / 机械工业出版社 / 2017-11 / 99.00元,40,8.2,24
https://img9.doubanio.com/view/subject/s/public/s33680086.jpg,https://book.douban.com/subject/35126508/,白话机器学习的数学,[日]立石贤吾 / 郑明智 / 人民邮电出版社 / 2020-7-1 / 59,45,8.9,66
https://img9.doubanio.com/view/subject/s/public/s1663944.jpg,https://book.douban.com/subject/1159821/,意识的宇宙,[美] 杰拉尔德·埃德尔曼、[美] 朱利欧·托诺尼 / 顾凡及 / 上海科学技术出版社 / 2004-1 / 27.00元,40,8.3,204
https://img2.doubanio.com/view/subject/s/public/s4615363.jpg,https://book.douban.com/subject/5952531/,神经网络与机器学习（原书第3版）,[加] Simon Haykin / 申富饶、徐烨、郑俊、晁静 / 机械工业出版社 / 2011-3 / 79.00元,40,8.1,133
https://img1.doubanio.com/view/subject/s/public/s3584517.jpg,https://book.douban.com/subject/2848660/,The Computational Brain,Patricia Churchland、Terrence J. Sejnowski / The MIT Press / 1992-6-12 / USD 87.50,0,0,少于10人评价
https://img3.doubanio.com/view/subject/s/public/s33917110.jpg,https://book.douban.com/subject/35489302/,图解机器学习算法,【日】秋庭伸也、【日】杉山阿圣、【日】寺田学 / 郑明智 / 图灵 | 人民邮电出版社 / 2021-6-4 / 79.8,0,0,少于10人评价
https://img9.doubanio.com/view/subject/s/public/s33470536.jpg,https://book.douban.com/subject/34814219/,深入理解神经网络,张觉非 / 人民邮电出版社 / 2019-9 / 89.00元,0,0,少于10人评价
https://img2.doubanio.com/view/subject/s/public/s4509652.jpg,https://book.douban.com/subject/2073245/,Neural Networks for Pattern Recognition,Christopher M. Bishop / Oxford University Press / 1996-1-18 / USD 105.00,45,8.8,40
https://img1.doubanio.com/view/subject/s/public/s33736458.jpg,https://book.douban.com/subject/35223198/,用Python实现深度学习框架,张觉非、陈震 / 人民邮电出版社 / 2020-10-12 / 89,0,0,少于10人评价
